city,scenario_id,metric_name,natcap_value,units,tolerance_pct,tolerance_abs,validation_status,source_file,source_cell_or_row,notes
SA,baseline,temp_change_f,90.0816,deg_F,5,0.1,natcap_published,nootenboom_results/citywide_results_UPDATED.xlsx,avg_temp_f_baseline,"NatCap mean air temperature (absolute, °F). Prototype temp_change_f is a delta — compare to (scenario − baseline); lower = cooler."
SA,FF_20ac,temp_change_f,90.042,deg_F,5,0.1,natcap_published,nootenboom_results/citywide_results_UPDATED.xlsx,avg_temp_f_FF_20ac,"NatCap mean air temperature (absolute, °F). Prototype temp_change_f is a delta — compare to (scenario − baseline); lower = cooler."
SA,FF_40ac,temp_change_f,90.0264,deg_F,5,0.1,natcap_published,nootenboom_results/citywide_results_UPDATED.xlsx,avg_temp_f_FF_40ac,"NatCap mean air temperature (absolute, °F). Prototype temp_change_f is a delta — compare to (scenario − baseline); lower = cooler."
SA,FF_MAX,temp_change_f,89.9646,deg_F,5,0.1,natcap_published,nootenboom_results/citywide_results_UPDATED.xlsx,avg_temp_f_FF_MAX,"NatCap mean air temperature (absolute, °F). Prototype temp_change_f is a delta — compare to (scenario − baseline); lower = cooler."
SA,UA_20ac,temp_change_f,90.0753,deg_F,5,0.1,natcap_published,nootenboom_results/citywide_results_UPDATED.xlsx,avg_temp_f_UA_20ac,"NatCap mean air temperature (absolute, °F). Prototype temp_change_f is a delta — compare to (scenario − baseline); lower = cooler."
SA,UA_40ac,temp_change_f,90.0743,deg_F,5,0.1,natcap_published,nootenboom_results/citywide_results_UPDATED.xlsx,avg_temp_f_UA_40ac,"NatCap mean air temperature (absolute, °F). Prototype temp_change_f is a delta — compare to (scenario − baseline); lower = cooler."
SA,UA_MAX,temp_change_f,90.0623,deg_F,5,0.1,natcap_published,nootenboom_results/citywide_results_UPDATED.xlsx,avg_temp_f_UA_MAX,"NatCap mean air temperature (absolute, °F). Prototype temp_change_f is a delta — compare to (scenario − baseline); lower = cooler."
SA,baseline,carbon_tons_co2,1.07322e+08,tons_CO2,1,,natcap_published,nootenboom_results/citywide_results_UPDATED.xlsx,c_sequestration_baseline,NatCap four-pool carbon stock (tons C) × 44/12 → tons CO2 (absolute). Prototype carbon_tons_co2 is a stock change — compare to (scenario − baseline).
SA,FF_20ac,carbon_tons_co2,1.07618e+08,tons_CO2,1,,natcap_published,nootenboom_results/citywide_results_UPDATED.xlsx,c_sequestration_FF_20ac,NatCap four-pool carbon stock (tons C) × 44/12 → tons CO2 (absolute). Prototype carbon_tons_co2 is a stock change — compare to (scenario − baseline).
SA,FF_40ac,carbon_tons_co2,1.07754e+08,tons_CO2,1,,natcap_published,nootenboom_results/citywide_results_UPDATED.xlsx,c_sequestration_FF_40ac,NatCap four-pool carbon stock (tons C) × 44/12 → tons CO2 (absolute). Prototype carbon_tons_co2 is a stock change — compare to (scenario − baseline).
